문장,유형,극성,시제,확실성,label
여성 인턴십 헌신을 통해 새로운 보고서는 열정과 능력으로 창조적 인 여성 재능을 육성하는 데 적극적으로 참여할 것이다.,예측형,긍정,현재,확실,예측형-긍정-현재-확실
특히 한국 선수들 사이에서 세계 16위를 차지한 '시즌 초에 모든 것 하나' 전략의 여섯 번째 위치는 또한 피할 수없는 공격의 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"로봇이 공장에서 했던 것처럼, 무인 항공기의 자동화 된 기술은 조종사의 일자리를 대체하거나 적어도 지상에있는 무인 항공기 운영자의 수가 증가하고 조종사를 대체 할 것이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"""CloJet""은 코로나 19의 확산에 대한 우려 가운데 여전히 백만 개의 획득을 앞두고 있지만 12 일에 피할 수없는 Chung Yuan의 감독자의 ""정직한 후보""와의 대결이있을 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"한편, APEC 정상회의 장소는 외교부로 구성된 선정위원회의 검토를 통해 2024년 초에 최종적으로 결정될 예정이다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"2030 년까지 생산 시설에 3,200 억 달러 이상을 투자하여 지능형 프로세스 시스템을 구축하고 가상 및 증폭 현실에서 자동화 기술과 인공 지능 기술을 갖춘 미래 유형의 선박을 만들 예정이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
국제사회가 소비자들에게 모바일 장치와 자동차와 같은 제품을 판매하는 기업을 디지털 세금 목표에 포함시키는 것에 동의함에 따라 삼성 전자 및 현대 자동차와 같은 국내 기업도 영향을 받게 될 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
현재 증권세는 0.23%이지만 내년에는 0.2%로 떨어질 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이는 20kg 당 30퍼센트 이상인 것으로 추정됐다.,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
인증 된 인증서의 독점적 인 상태가 사라지면 미래에는 간단한 암호와 생체 인식과 같은 다양한 인증 방법이 적극적으로 사용될 것으로 예상된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
월스트리트의 바클레이스와 제프리스 투자 은행은 5 월 가격 상승을 발표 한 후 Fed가 0.75 % 포인트의 이자율을 올릴 것으로 예상했다.,예측형,긍정,과거,확실,예측형-긍정-과거-확실
"일본 게임 ""Umamusme Pritiderby""는 20일, 한국 게임 ""Mir M""는 23일, 중국 게임 ""Hiani Moondoom M""는 24일에 출시될 예정이다.",예측형,긍정,현재,확실,예측형-긍정-현재-확실
금 투자에 대한 관심이 높아질 것으로 예상된다.,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
"동해의 중간에, 매우 강한 바람과 파도가 매우 높을 것이며, 파도에 의해 유발 된 파도가 해안 도로 또는 방패를 넘어 갈 곳이있을 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
올해는 Watch 플랫폼에서 10 개의 다른 P2E 게임을 소개 할 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"16 이후, 1 시간 동안 스트리밍 플랫폼 twitch에서 활성화 된 ""Dropbox""를 가진 방송을 볼 때마다 ""스킨 박스""선물 이벤트가 개최 될 것이며, 이는 한정판 에이전트 피부를 얻을 수 있겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
혼란스러운 경쟁이 저비용 상태로 들어가면 시장에서 살아남은 사업가가 소비자의 편리함과 신뢰성을 보장하기에 충분하지 않으며 미래 시장의 판단이 될 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
실제 게임 판매를 기반으로 한 스테이크 모델을 통해 사용자 참여와 합리적인 보상 제안이 순환되는 생태계를 구축하고 글로벌 비즈니스 능력과 게임 운영 기술뿐만 아니라 건강한 토큰 경제를 설계 할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"7월 1일, WeMix 3.0은 TestNet와 함께 출시되며, 3분기에 WeMix Difi와 Neil을 출시할 예정이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"기상국에 따르면, 경기 후반에는 동쪽과 계곡 내륙과 태양, 동쪽 내륙, 북쪽 내륙과 북쪽 서쪽 내륙에서 태양광이 약 5 ~ 30mm 떨어질 것으로 예상된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"장미, 폭풍우, 여름과 같은 계절적 요인은 승용차 사용량을 증가시킬 것으로 예상되므로 추위가 올 때 검사를 지연시킨 실패가 증가한다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
이란의 민간 항공기 폭격은 상황을 진정시켰지만 핵무기를 개발하고 있는 이란은 결코 멈추지 않을 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
미국 연방 보유소의 급속한 긴축 시계 외에도 우리나라는 또한 불가피한 대규모 기준금리 인상에 직면 할 수있는 전망이 있다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
김 교수는 웹 3.0의 핵심 기술으로 논의되는 NFT의 본질을 탐구하고 비즈니스와 함께 앞으로 나아갈 때 고려 사항을 논의한다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"100세 된 사무총장이 제거되며, 최상급 수사도 어려움을 겪을 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
특히 Yuan Shenyang 대통령이 강조한 선진 산업 재능 개발과 관련된 규제 연약 제안과 미래에 반도체와 같은 새로운 산업의 경쟁력을 보장하기위한 정부의 규제 개혁 조치가 더욱 확대 될 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
아침에는 비가 내리거나 비가 올 것이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
3 주간 시작하지만 여전히 실시간 예측률 1을 실행하는 것은 이번 주말 이익 분해점을 깨는 것처럼 보인다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
참가자들이 Cloud 및 Durey 서비스를 직접 경험할 수 있는 경험 스탠드도 마련될 예정이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
Fintech 기업 독립 계좌의 일반화로 개인 자산을 보유하고 투자하는 과정에서 중요한 변화가 예상된다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"바다의 파도는 동해, 서해 및 남해 전해에서 0.5 ~ 1.0m이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한, 그것은 ""알 자산""의 개념을 도입하고 또한 NFT와 같은 소위 회색 영역에 위치한 가상 자산의 출판을 요구할 계획이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
반면에 0.5% 포인트 증가가 7%로 예상되었겠다.,예측형,긍정,과거,확실,예측형-긍정-과거-확실
"15일 채권 수익률은 전반적으로 상승할 것이며, 5년 금융 수익률을 바탕으로 하는 공동 기업의 고정 수익률은 계속 상승할 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
그러나 미래에는 일반 및 지리적 회사와 감독 및 비상 조항의 조건이 고려되지 않으며 주주율에 따라만 감소율을 적용 할 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"두 사수 모두 좋은 모습을 보여주면 ""왼쪽""김정은의 가치가 더 높을 가능성이 높겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
이 보고서는 코로나 19 공격 이전에 발표되었기 때문에 미래의 성장률이 더욱 강해질 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"아크로비스타 주민들은 3일 전에 조용한 문서에 서명하여 시위 기간 동안 마이크, 스피커 및 증폭기의 사용을 금지하고 다음 주 경찰에 조용한 문서를 제출하도록 요청했다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"Blizzard는 또한 Overwatch 2의 출시와 함께 새로운 공격 영웅 ""Junkirkvin""을 발표 할 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한 연간 6,000 파운드에 50 % 이상 증가 할 것으로 예상된다.",예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
"치료를받을 수있는 특별한 상황이었다는 것을 증명하지 않았다면, 심지어 당신이 myeloma로 진단 받았더라도, 30,000 이상의 보험료를 얻는 것은 어렵겠다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
다양한 정체성 인증 서비스 제공 업체의 급격한 변동은 Corona 19 이후 극단적 인 소비 경향의 확장에서 빠르게 성장한 시장을 이끌 것으로 예상된다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
Ibningplus는 서울시 센터와 남중국 센터 2점을 15점부터 운영하고 8월 말에 디지털 포인트를 추가할 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
회사는 파일럿 프로젝트로 선정된 두 마을의 형성 과정을 지속적으로 검토하고 컨설팅 서비스를 통해 사업을 안정적으로 홍보할 수 있도록 지원할 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
이를 위해서는 할인 마케팅이 계속되어야하는 한 수익성있는 관리가 중요한 과제가 될 것으로 전망된다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
내부에도 어두운 구름이 있을 것이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"게다가, 게임과 예술 사이를 탐구하는 예술가들의 작품은 NDC Art Exhibition에서 전시되며, Prassia Electric의 개념과 세계관이 공개된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
57개 금융 국가와의 공동 고용 박람회는 8월 말에 열릴 예정이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"사용자는 다양한 안정적인 동전, Ripple 본부를 공유하는 다양한 토큰 및 거래량을 Ripple의 보증으로 발행 할 수 있겠다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"게임 업계와 요네이 정부의 게임 정책 전략과 기본 프레임 워크를 설립하기 위해 논의가 예정되어 있으며, 21차 국회 의장으로 선출되는 김정일 의원과 문화 및 스포츠 관광부 장관 파초 베이커가 참석하고 축하한다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
경제산업위원회 (Economic and Industrial Commission)는 도쿄를 포함한 일부 지역의 전력 공급 예비가 7 월에 3.1%에 도달 할 것으로 전망한다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"특히 배우자를 위한 컨설팅 프로그램을 개발하고, 지역 고위 보호 전문가들에게 배치하고, 현장 응답 능력을 강화하기 위한 훈련을 실시할 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
공동 조치는 국가세청에서 얻은 세금 관련 데이터를 분석하여 세금 관련 주장을 증명할 계획이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"또한, 여전히 마스크를 벗어날 수없는 실내 및 야외 제품은 모든 자연적인 피부 표현, 메이크업은 마스크에 묻혀 있지 않거나 두꺼운 피부 표현 대신 자연스럽게 피부 결함을 덮을 수있는 ""Fadefree""트렌드가 대략 따릅니다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
KT 클라우드는 4월의 공격 이후에 설립될 스마트 테크 한국 단계를 적극적으로 활용하여 개인 잠재 고객을 만나고 그들과 통신할 계획이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"결국 국내 은행들은 상대적으로 쉬운 이자율로 돌아갈 뿐, 외국인 투자자들은 더 이상 한국 금융회사를 바라보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
동시에 현재 세율은 5 %의 낮은 수준에 있으므로 양세 변화로 인한 가격 영향이 큰 것으로 전망되지는 않는다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"2030년까지 평균 연간 성장률은 43,8%가 될 것이며 3조2700억 달러로 성장할 것으로 예상된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"기상 기관에 따르면 아침까지 때때로 산의 북부와 동부 해안에 5mm 미만의 비가 내릴 것이며 아침까지 산의 동부와 남부 해안, 산의 북부와 북부 해안에 0.1mm 미만의 비가 내릴 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"이러한 상황에서, 첼시의 반정부의 은퇴와 3경기 정지의 훈련은 광주민의 귀환 후 권력에서 멈추고, 몇 경기는 다음 시즌 토텐엄의 챔피언십에 갈 것으로 예상된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
우리가 감염 예방에 초점을 맞추면 부산에있는 중국 대표팀의 위치에서 긍정적 인 효과를 기대할 수 있겠다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"정부는 올해 8월 이후 계약을 갱신할 권리를 이용한 임대인이 재계약을 할 수 없을 것이라는 우려를 제기했으며, 새로운 세금 송금을 받으면 주택 안정성이 전례없는 총 가치로 불안정해질 수 있으며, 이는 국립주택기금이 지원하는 ""더 나은 팀 세금 기금 대출""의 지원을 확장시킬 것이라는 우려를 제기했다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"첫째, 중소기업과 중소기업은 29조 1억 원의 추가 관리 자금을 받을 것이며, 이는 기업 자금 조달을 폭발시킬 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"특히, 회사의 투자는 ""투자 프로젝트 관련 규정""을 파악하고 그들에 집중함으로써 차단된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
개발자는 “Prasia Electric” 개발 팀의 관심과 방법론을 공유한다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
Dungeon's Fighter Mobile가 실질적으로 가장 높은 기대라는 의미에서 중국 시장이 성과에 관심을 가질 전망이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"16일 기상청에 따르면, 17일 오후 늦게부터 경기의 밤과 남쪽과 서쪽 광장 사이에 남쪽과 북서쪽 광장에는 태양이 일어날 것이며 폭풍과 폭풍과 폭풍이 일어날 것이다.",예측형,미정,미래,확실,예측형-미정-미래-확실
"개발이 완료되면 인구가 20,000을 초과 할 것으로 전망된다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
또한 위험 관리 능력은 이익을 창출하고 지불 가능한 안정성을 유지할 것으로 예상 되었다.,예측형,긍정,과거,확실,예측형-긍정-과거-확실
"스포츠에서 전반적인 도로지도를 그리는 수준에서, 미래의 스포츠에 적합한 게임은 갤럭틱 게임을 통해 계속 출시 될 것이다.",예측형,미정,과거,확실,예측형-미정-과거-확실
"정부는 지난 2일 마스크 제조 공장을 마스크 가격의 혼란과 재고 부족에 대한 반응으로 24시간 운영할 것이라고 발표했으며, 따라서 관련 회사들이 특별한 작업 연장을 신청할 것으로 예상된다.",예측형,긍정,미래,확실,예측형-긍정-미래-확실
"우리 두 직원의 각각 총 4 명의 직원이 있으며, 미래의 상황에 따라 오전 10시부터 오후 3시까지 근무 시간은 탄력적으로 작동 할 예정이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
"낮과 저녁 사이에 라키네의 남쪽과 내륙 산과 라키네의 남동쪽 산과 라키네의 남동쪽 산, 라키네의 북동쪽 산과 라키네의 북동쪽 산과 라키네의 남동쪽 산과 라키네의 남동쪽 산과 라키네의 남동쪽 산과 라키네의 남동쪽 산에 비가 올 것이다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
법무부는 곧 7일 검사위원회를 다시 개방하고 징계위원회의 결과를 징계와 수정 내용에 따라 제출할 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
최대 온도는 전날보다 4~12도 높아질 예정이었다.,예측형,긍정,과거,확실,예측형-긍정-과거-확실
새로운 바이러스가 다시 한 번 사람들을 위협할 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"만약 11월의 대통령 선거에서 트럼프가 선출될 확률이 낮다면, 이는 코로나 19 긴급 상황에 의해 연장될 것이라면, 중국은 소비 부족으로 인해 의무 수입을 이행하지 못할 가능성이 높다.",예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
Blizzard는 또한 17일 오전 2시에 Overwatch 2 공공 이벤트의 라이브 스트리밍을 통해 서비스 모델과 계절 콘텐츠 계획을 발표할 예정이다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
현장 검토 및 데모의 전체 과정은 실시간으로 온라인으로 진행되며 현장을 방문하는 시청자는 게임의 내용을 직접 경험할 수 있겠다.,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
산업 당국자들은 노동자들 사이의 수중 대화가 계속되고 있지만 양측 간의 파업은 끝이 없을 것으로 전망된다고 말한다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"원래 히트 이후 세계관을 포함하는 MMORPG ""Hit2""의 경우, 그것은 사용자가 원래 히트보다 더 큰 세계관의 위대한 여행에 올라가는 느낌을 제공하기 위해 설계된 음악의 탄생 배경과 구성 과정을 설명 할 것이다.",예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
따라서 전망은 수출의 비율이 높을 때까지 세 가지 식품이 이익을 얻을 것이라는 것이다.,예측형,긍정,미래,확실,예측형-긍정-미래-확실
"세계 드래곤은 말레이시아, 싱가포르, 인도네시아, 필리핀 및 태국을 포함한 5 개국에서 동시에 출시 될 것이며, 또한 자메이카를 통해 대만 지역 출시를 준비하고 있다.",사실형,미정,현재,확실,사실형-미정-현재-확실
"에어버스 헬리콥터의 H155B1 플랫폼을 기반으로, LAH는 최신 공격 방지 장비와 무장 촬영 제어 장비를 갖추고, 조종사의 편리함과 생존을 향상시킬 것이며, 통합 작전을 위해 최적화 될 것이며, 2022 년까지 개발을 완료 할 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
확인된 임산부가 코로나 바이러스를 태아 또는 신생아에게 전달할 수 있나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
Corona 19와 관련된 기사를 쓰지 못할 날이 언제 올까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"모집 기간은 다음 달 5일까지 진행되며, 인터뷰와 제출 설명은 다음 달 10일 서울에서 진행될 예정이다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
또한 빙하 또는 이스트 랜드에서 녹은 물이 토양을 오염 시키거나 강과 호수와 같은 수원으로 흐를 가능성이 있다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"태풍 번호 9 ""미샤크""는 앞으로 2 ~ 3 일 동안 강한 바람과 함께 400mm 이상의 물 폭탄이있는 일부 지역에 영향을 미칠 것으로 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
경찰은 미국의 공개 이후 김정은이 주류 당국자들을 동원하고 미국을 압박했다는 의혹을 조사하고 있다.,사실형,미정,현재,확실,사실형-미정-현재-확실
빠른 음식의 시장에 무슨 일이 일어날 것인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"""우리는 국왕 광장과 국왕 광장 역에서 비즈니스 마을을 만들기 위해 지방 경찰서와 지방 경찰서를 옮길 계획입니다.""",대화형,미정,미래,불확실,대화형-미정-미래-불확실
이제 관심은 '파라시트'가 북미의 영화 산업 중심부에서 비영어 작품을위한 최고의 연기 기록이 될 것이라는 것이다.,사실형,미정,미래,확실,사실형-미정-미래-확실
또한 외부 컨설턴트로부터 조언을 제공할 것이다.,사실형,미정,미래,확실,사실형-미정-미래-확실
그러나 최근에는 표적 치료의 출현이 전염된 유방암 치료의 효율성을 크게 향상시켰으며 5년 이상의 장기 생존이 예상된다.,사실형,미정,현재,불확실,사실형-미정-현재-불확실
"용감한 사람, 용감한 영웅?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
마이크로소프트는 또한 게임의 글로벌 출시와 동시에 Xbox GamePass를 제공 할 것이다.,사실형,미정,미래,확실,사실형-미정-미래-확실
어린이 1백만 원을 나누는 데 비용이 얼마나 들까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"다음날 아침 18일, 최대 온도는 19-23도, 최대 온도는 26-32도로 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"영웅은 2주 연속으로 배제되지 않으며, 팬과 플레이어의 의견을 적극적으로 감소함으로써 시즌 중 영웅 회전을 수정할 수 있다.",추론형,미정,미래,확실,추론형-미정-미래-확실
"우리는 KUH-1 헬리콥터와 LAH 소형 무장 헬리콥터 기술 파트너십을 통해 공군의 대형 운송 항공기의 도입과 소형 및 중형 운송 항공기의 국내 개발을 기대하며, 이는 에어버스와 우리나라의 항공 우주 방위 산업 기업과의 상호 경제적 전략적 파트너십을 이끌 것이다.",추론형,미정,미래,불확실,추론형-미정-미래-불확실
예상 강수량은 5 ~ 40 mm이며 남서부 해안과 남서부의 내부와 외부에 5 mm의 비가 내릴 것이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
중국의 주요 도시의 지표를 5개로 늘릴 계획이다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
정부의 조치가 얼마나 효과적인지는 아직 명확하지 않다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
암 수술 또는 암 치료 또는 방사선 요법을 약한 면역 상태에서받는 경우 면역력을 회복하는 데 어려움을 겪을 수 있다.,추론형,미정,현재,불확실,추론형-미정-현재-불확실
"글로벌 진보의 일환으로, 싱가포르의 의료 그룹인 JYSK 그룹과 글로벌 진보를 위한 비즈니스 계약이 체결되며, 싱가포르의 비만 클리닉 1을 포함한 ASEAN 국가에 100개가 넘는 클리닉이 개설될 예정이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
3년 만에 다보스를 설립한 Justice Line Modern Cars의 CEO는 기술 혁신과 비용 절감을 통해 수소 사회를 발전시키는 계획을 고려하고 있다.,사실형,미정,현재,확실,사실형-미정-현재-확실
큐레이터가 작품과 지인들의 소유권을 조정하지 못했나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"""다시 사용 된 아기 옷과 침구를 재사용 할 수 있습니까?""",대화형,미정,미래,불확실,대화형-미정-미래-불확실
이제 AI가 바리스타와 게이머가 되면서 모든 곳에서 사람들을 밀어내면 ‘인류’는 어디에 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
확인된 어머니와 신생아가 같은 방에 있을 수 있나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"""코로나 전염병이 끝난 정원에서, 왜 여기에 와서 마스크 마케팅을해야하는지 궁금해 할 수 있습니다.""",추론형,미정,현재,불확실,추론형-미정-현재-불확실
불안과 위험한 환경이 인간의 두뇌가 편리함과 안전을 선택하게 할 때 미래 사회는 어떻게 보일까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"첫 시즌에는 20,000 달러 이상을 지원할 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
그것은 또한 지난 12 일간의 협상에서 한 번 붕괴를 일으키는 요인이 될 수 있으며 일반적인 파업과 비슷한 노동 투쟁의 원인이 될 수 있다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
아파트는 왜 망가졌을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그 이유는 무엇인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"만약 미국이 이자율을 0.75% 포인트 상승한다면, 미국의 기본 이자율 상위는 1.75%가 될 것이며 한국의 기본 이자율과 동일할 것이다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
동물영화는 왜 그렇게 인기가 있는 것일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"그것은 주요 운전 도전으로 민간 비즈니스 부문에서 승용차의 탈출을 촉진하고, 시민과 함께 ""사고차에 대한 공격 없음""운동의 발전뿐만 아니라 승용차의 감소를위한 기관 선택의 정책을 촉진 할 계획이다.",사실형,미정,현재,확실,사실형-미정-현재-확실
"둘째, 콘택트 렌즈를 너무 오랫동안 착용하면 눈에 손상을 줄 수 있다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
그러나 현실은 어떻나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
“코로나 바이러스 감염 위험이 있습니까?”,대화형,미정,미래,불확실,대화형-미정-미래-불확실
코로나가 조직함에 따라 자동차의 유지 보수 및 검사 방법도 바뀔 것으로 예상된다.,예측형,미정,현재,확실,예측형-미정-현재-확실
치료 시간을 놓치면 증상이 점차 악화 될 수 있으며 심한 경우에는 장님으로 이어질 수 있다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
"그는 “5~6년 전까지 100명 중 10명은 훌륭한 기술을 보여주었지만, 최근에는 100명 중 5명으로 떨어진 것으로 보인다”고 말했다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
"그는 “전통적인 뇌졸중에 대한 예방 조치 외에도 전 세계적으로 높은 사망률이 있으며, 삶의 질을 향상시키는 치매와 알츠하이머 치료도 그 결과를 향상시킬 것”이라고 말했다.",사실형,미정,현재,불확실,사실형-미정-현재-불확실
현재 125명의 대표 학생들이 활동하고 있으며 그 숫자는 점차 300명으로 늘어날 예정이다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
서울의 여러 지역에서 어디를 방문해야합니까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
가장 좋은 목록은 어디에 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"씨앗이 썩을 때, 신경은 영구적 인 씨앗으로 전송 될 수 있다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
발표는 축제 후일지도 모른다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
"7 월, 우리는 버밍엄 - 바르셀로나 경로와 버밍엄 - 이스탄불 경로를 시작할 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
"당신이 내부에서 무거운 인사를 찾을 수 없다면, 외부 낙하산이 올 수 있다.",추론형,미정,미래,불확실,추론형-미정-미래-불확실
올해는 비행 영역과 시간을 확장하는 것 외에도 축적된 데이터를 분석하고 기술을 발전시켜 승객에게 최적화된 맞춤형 비행 양식을 권장할 것이다.,사실형,미정,미래,확실,사실형-미정-미래-확실
"지난 12 월에 Steam에 Ally Access를 출시 한 이후 Steam은 그것을 ""2019 년 최고의 릴리스""로 선정했으며 올해 1 분기에 공식적으로 출시 될 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
5G 및 인공 지능의 미래는 무엇을 가져올 것인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
올해의 수업은 안전하게 진행될 예정이다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
어쩌면 살아가는 것을 잊어버렸을지도 모른다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"당신은 '낚시 가게'에서 수시 집에서 사용 된 물고기를 키울 수 있으며, 임무 실패로 잃어버린 물고기를 어느 정도 회복 할 수 있다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
"LCH 개발 프로젝트는 국내 민간 헬리콥터를 대체하기위한 소형 광산 헬리콥터 개발 프로젝트이며, LAH와 같은 플랫폼을 기반으로 승객 운송, 항해, 응급 의료, 안전, 화재 압력 등을 작동 할 수있는 다기능 헬리콥터로 개발되고 있으며, 2021 년에 완료 될 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
새로운 코로나 19 테스트는 무엇입니까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"당신은 “휴식”, “출발”, “치료 룸”을 선택하거나 양육 과정에서 피트니스의 “능력”을 습득 할 수 있다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
Corona19 인증 아동 마스크를 착용해야합니까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
해외는 한국 게임에 대한 규제 항목으로 사용할 수 있다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
"당신이 게임의 이야기를 진행할수록, 당신은 각 캐릭터를 영감을 가진 기존 레이싱 말의 특성과 특성을 보여주는 세계관을 볼 수 있다.",사실형,미정,미래,불확실,사실형-미정-미래-불확실
알고리즘 stablecoin의 특징적인 가격 고정이 붕괴하고 회복 흐름이 언제든지 발생할 수 있다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
총 1 억 FORT가 제공되며 소지자는 재단의 지배 투표에 참여할 수 있다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
