문장,유형
금융당국이 신종 코로나바이러스 감염증신종코로나으로 피해를 본 자영업자와 중소기업에 긴급 유동성을 공급하는 방안을 마련 중이다,사실형
1일 서울시에 따르면 시는 최근 도시공원 일몰제가 적용되는 구 관리공원에 대해 각 자치구가 실시계획인가를 진행하도록 공문을 보냈다,사실형
반응은 역시나 뜨거웠다,사실형
건강보험심사평가원에 따르면 백내장으로 진료받은 인원은 1년 1만1명으로 1년1만1명보다 약 1 증가했다,사실형
국내 투자자들도 우려를 나타내고 있다,사실형
이 제도는 완성형이 아니라 화물차주의 적정 수입을 보장하면서 화주기업도 받아들일 수 있는 형태로 발전시켜야 한다고 말했다,사실형
미중 무역갈등 장기화에 따른 세계 경기 침체와 한일 관계 악화에 따른 소비심리 위축 등은 여전히 변수로 남아 있다,사실형
남자 대표팀은 예선에서 호주 인도1일 1위 카타르1일 1위와 차례대로 만난다,사실형
오랜 시간 공을 들인 만큼 무대의 퀄리티 역시 높은 완성도를 자랑한다,사실형
어린이 건강기능식품 미니막스 정글 칼슘비타민a는 일일 섭취 권장량 기준 1의 칼슘과 1의 비타민a를 담았다,사실형
그런데 우왕의 부인들은 그런 남편과는 많이 달랐다,사실형
그는 모든 사람이 자유롭게 자신의 콘텐츠를 만들고 a를 붙여서 자유롭게 거래하는 인터넷 세상을 웹 11 시대라고 한다라며 a나 블록체인 암호화폐와 관련해 거품이 많이 끼어 있는 것도 사실이지만 우리가 단순히 투자해서 돈을 번다는 것이 아니라 기술적 동작 원리를 잘 이해하려고 노력하고 어떻게 게임에 붙일까를 고민하면 굉장히 좋은 비즈니스 모델이 나올 수 있을 것이라고 말했다,사실형
현대기아차 현대모비스 웹케시메가박스하나투어 등 다양한 업종에 걸쳐 고객사를 확보했다,사실형
이 책의 백미는 지난 1년간의 과거 제국들을 다룬 1부와 미국과 중국의 지난 1년을 다룬 1부에 뒤이어 나오는 미래를 다룬 1부다,사실형
여기에 하체를 확실하게 고정해주면 공은 똑바로 갈 수밖에 없다,사실형
창원지법 통영지원 제1형사부이용균 부장판사는 살인 혐의로 기소된 a1남씨에게 최근 무기징역을 선고했다고 1일 밝혔다,사실형
통상 금융지주 부사장이 행장이 됐던 예가 많아 될 사람이 됐다는 시각도 있지만 굳이 1연임 확정됐던 이 행장을 물러나게 한 건 다른 저의가 있다는 해석도 많다,사실형
한은은 보고서에서 에콰도르의 디지털 화폐 시범 발행 사례를 언급하면서 국민적 수요에 대한 분석 선행이 필요하다고도 덧붙였다,사실형
지난달 대법원이 합리적 이유 없는 임금피크제가 위법하다는 판결을 내린 가운데 정년 연장과 결부된 임금피크제는 합리적이라는 법원 판단이 나온 것이다,사실형
그는 중국은 거의 틀림없이 느슨한 연방 형태로 바뀔 것이라고 자신했다,사실형
이후 1년 a의 자회사로 편입되면서 인터넷aa와 디지털 옥외광고를 비롯해 그룹사와 시너지를 낼 수 있는 사업으로 꾸준히 영역을 확장했다,사실형
진옥동 신한은행장도 차별적인 경험을 제공하는 기업으로 바뀌기 위해 고객과 사회 이웃에 집중하자고 다짐했다,사실형
지난 1일 열린 1년 새해 첫 시험인 제1회 국가공인 경제경영 시험인 매경a매테에서 영예의 대상은 성균관대에 재학 중인 박재환 씨가 차지했다,사실형
한 번 충전 시 1시간 이상 재생되는 배터리 성능은 든든하다,사실형
예술경영지원센터가 최근 발표한 1 미술시장 실태조사에 따르면 국내 미술시장 규모는 1억원대 문턱을 넘지 못하고 다시 1억원대 중반으로 주저앉았다,사실형
현대자동차 제원표 표시연비는 a 1111a이지만 김 씨가 실제로 주행한 연비는 1리터당 11 11a로 약 1 이상 높게 주행했다,사실형
주예지는 지난 1일 유트브 라이브 방송을 진행하던 중 손으로 용접하는 시늉을 하며 1등급 나오면 용접 배워서 호주 가야돼 돈 많이 줘라고 발언해 논란이 됐다,사실형
이중에서도 아슬아슬하고 화려한 최고난이도 곡예비행을 보여주기로 유명한 미국 공군 썬더버드과 해군 블루 앤젤스이며 이에 필적하는 실력을 인정받고 있는 팀이 우리 공군 블랙이글스이다,사실형
융단폭격이 바로 사이토카인 폭풍이다,사실형
정보의 공개 구조를 합리적으로 바꾼다,사실형
경찰은 문제의 a들과 대표 이사 휴대전화 등을 압수해 어떤 목적으로 a를 설치했는지 녹화 영상이 따로 저장되거나 유포됐는지 등을 수사할 방침이다,사실형
더 좋은 방법은 천연비누를 만나는 일이다,사실형
여자 아이돌 그룹 중에서는 트와이스가 독보적인 판매량을 기록했다,사실형
유입인구가 가장 적은 도봉구에 비해서는 1배나 많다,사실형
졸리는 이곳에서 기업의 본질을 배웠다고 토로한다,사실형
최근 음원 사재기 의혹을 제기한 그룹 블락비 박경 측이 군 입대 연기를 신청했다,사실형
이에 연구위원 발령을 받은 고위 간부들은 사표를 제출하는 경우가 적지 않았다,사실형
이미 미국 기업들은  대응책 마련에 앞장서고 있다,사실형
전국을 유람했지만 준비한 식량이 자주 떨어져 여러 사람에게 손을 내밀어야 했다,사실형
이후 셧다운제는 세부 시행안을 두고 문화체육관광부와 여성가족부가 첨예하게 대립한 끝에 1년 1월 1일부터 만 1세 미만 청소년의 온라인게임 서비스를 대상으로 시행됐으며 지금까지 이어지고 있다,사실형
a a이 제작 역량을 강화하기 위해 국내외 유수 콘텐츠 회사와 전략적 파트너십을 체결했다고 1일 밝혔다,사실형
한국거래소 코스닥시장 상장규정에 따르면 회사 경영진의 횡령배임 규모가 자기자본의 1 이상 혹은 1억원 이상일 경우 상장적격성 실질심사를 통해 상장을 폐지할 수 있다,사실형
이 a 로봇은 카메라로 탁구공 위치뿐 아니라 상대방의 움직임 눈을 깜빡이는 횟수 표정 맥박 등을 실시간 분석해 탁구 난이도를 조정한다,사실형
연려실기술에 따르면 선조는 평생 비단옷을 입지 않았으며 수라에도 두 가지 고기 반찬을 올리는 법이 없었다,사실형
탈중앙금융 서비스 위믹스 디파이는 암호화 자산의 저장 교환 대여 결제 투자 등을 지원하는 온체인 플랫폼이다,사실형
주예지는 지난 1일 자신의 유튜브 방송에서 주예지입니다라는 영상을 공개했다,사실형
이날 김종오 서울중앙지검 조세범죄조사부장11기도 사의를 표명했다,사실형
이날 기자회견에서 최 시인은 실명을 공개하지 않았으나 경험담을 통해 신상과 관련된 정보를 일부 공개했다,사실형
미국에서도 1년 전통의 백화점 체인인 시어스가 파산했고 최대 장난감 업체 토이저러스와 의류브랜드 포에버1이 무너졌다,사실형
첫 시즌에는 1만 달러 이상을 지원할 예정이다,사실형
용재총화에서 성현은 우리 민족이 간사하고 경솔하다고 했다,사실형
기업은 미국1개 중국1개에 이어 세 번째로 많은 11를 차지했고 참관인은 1가 넘었다,사실형
공대가 강한 광운대 전자공학과 취업률은 지난해 11였고 숭실대는 11 단국대는 11 한국외국어대는 11 명지대는 1 수준이다,사실형
지금도 재산은 그렇게 이동 중이다,사실형
한국카카오은행은 매월 최대 1만원의 캐시백 혜택을 받을 수 있는 카카오뱅크 프렌즈 체크카드 프로모션을 시작한다고 1일 밝혔다,사실형
하 대표부터가 태생이 엔지니어다,사실형
덩어리 규제는 여러 부처와 법령이 얽혀 있어 복잡하고 기업 활동에 큰 영향을 미치는 규제를 의미한다,사실형
그럼에도 기생충이 작품상을 가져간 건 역시 기세로 설명할 수 있을 것이다,사실형
그의 집안에 죽당이 숭례문이라는 세 글자를 쓴 종이가 수백 장이나 전해 오는데 숭례문 편액을 연습한 것이라고 했다,사실형
지난 1일현지시간까지 기생충의 북미 매출은 1만달러로 비영어 영화 중 1위다,사실형
배우 조정석이 1 a 연기대상에서 아내 거미를 언급했다,사실형
시상식 직후인 1일현지시간 저녁 전 세계 실시간 트위터 검색어가 1위 오스카 1위 기생충a 1위는 봉준호일 정도로 기생충 관련 포스트는 큰 인기를 얻었다,사실형
그 하조대에 생기 넘치는 숨결을 불어넣어 준 게 바로 하조대 둘레길과 서피비치이다,사실형
서울 아파트 전월세 거래량은 지난해 1월 1만1건에서 올해 1월 1만1건으로 줄었다,사실형
오는 1일 출시되는 첫 번째 장 얼어붙은 해안 전투의 두 임무 가운데 악의 연합 잔악무도 임무는 모든 플레이어가 무료로 즐길 수 있다,사실형
이용자는 다른 세계 명마들의 이름과 영혼을 이어받아 꼬리와 귀 초인적인 주력을 가진 우마무스메와 함께 이들을 트레이닝하는 교육 기관 트레센 학원의 신인 트레이너의 역할을 맡아 많은 우마무스메의 목표인 트윙클 시리즈에 활약하기 위해 고군분투하는 이야기를 경험할 수 있다,사실형
이미 창단 이벤트를 통해 요미 트레이너를 획득한 이용자에게는 루나 트레이너를 지급할 예정이다,사실형
팔도도원수 김명원의 부장 신각은 양주에서 민가를 약탈하던 적병 1명의 목을 벴다,사실형
이번 박람회는 브라보 앵콜 라이프를 슬로건으로 삼았다,사실형
룩셈부르크 정부가 전략적으로 육성하고 있는 데이터센터는 핀테크 보안 기술에서 시작됐다,사실형
한국의 대표 식품에 대한 생계형 적합업종 지정 폐지를 논의할 때가 됐다는 주장이다,사실형
티켓파워를 지닌 영화감독들이 제작사를 병행해서 수익을 극대화함과 달리 그는 별도 사업을 펼치지 않는다,사실형
지난달 미국 케이블 채널 a는 기생충 드라마 제작을 위해 a엔터테인먼트 등 여러 제작사와 손을 잡았다,사실형
지금까지 자동차리콜센터 홈페이지에선 차량정보차량등록번호 차대번호를 입력하면 리콜대상 여부만 확인할 수 있었지만 이번에 개편된 홈페이지에선 차량번호 및 차대번호로 리콜을 받았는지 여부까지 직접 확인할 수 있다,사실형
오늘 아침 당신의 몸에서 나온 나는 막 시작된 긴 여정을 떠나고 있다,사실형
하지만 한국전쟁 후 모든 것이 파괴된 시대가 되면서 건축가는 엔지니어 역할이 매우 중요했다,사실형
1월 1일 국내 우주방산 업계 최대 성과 중 하나인 누리호가  발사를 연기했다,사실형
홍 부총리는 대상 분야는 관광 수출 항공 해운물류 금융시장 제조업 생산 대책 중소기업 내지 소상공인의 어려움 해소 농수산물 소비 대책 등이다 전체적으로 내수 활성화 대책이라고 할 수 있다고 덧붙였다,사실형
성종은 술로 인한 비사가 유독 많다,사실형
법인세율을 인하하면서 하위 구간 조정을 통해 중소기업에도 감세 혜택이 돌아갈 것이라는 게 기재부의 설명이다,사실형
막상 치즈를 찾으러 떠나지만 피곤으로 바닥에 주저앉았다,사실형
물질은 정신의 가치를 일깨우고 디지털은 아날로그 감성을 부른다,사실형
얼마 후 조식이 세상을 뜨자 특별히 대사간에 추증했다,사실형
이 같은 사유로 특별연장근로를 인가받으면 기존 주1시간에 최장 1시간 초과근로를 인정받을 수 있다,사실형
1일 스마일게이트에 따르면 로스트아크 스팀 버전 동시접속자수는 지난 1월부터 상승 흐름을 보였다,사실형
코로나1 발생 이래 누적 확진자는 모두 1만 1명으로 집계됐다,사실형
코백회 관계자는 코백회가 욕설 시위를 주도했다는 잘못된 주장으로 인해 야권 지지자들로부터 협박전화까지 받았다며 더 이상 정쟁의 대상으로 코백회를 끌어들이지 말라고 선을 그었다,사실형
다이는 코스를 설계할 때 골프의 여러 요소 중 특히 두 가지를 중요하게 생각했다,사실형
논문이나 일본 업체가 배포한 자료를 통해 이미 업계에 알려진 내용이 자료에 담겼기 때문이다,사실형
간 찬 찬 등 1글자는 비슷하게 소리 나 함께 적혔다,사실형
1년 세종문화회관 초연 당시 1만1석한 회당 1석 1회 공연을 1분 만에 매진시키며 그해 각종 뮤지컬 시상식에서 1개 부문을 석권했다,사실형
이같은 이유로 중국정부는 은행계좌에 귀속됐고 중국의 국내외 화폐주권을 위협하는 모바일페이 대신에 디지털 인민폐인 a를 발행하기로 결정했다,사실형
많은 본토 자산가가 에셋 파킹a a 일환으로 해외 자산 투자를 늘리는 과정에서 역외보험을 활용했고 그 결과 본토에서는 자본 유출 압력이 커졌다,사실형
먼저 도착한 인화 손님 한고은신영수 부부와 함께 종민 손님 김요한장대현 브로가 새로운 현천비앤비 손님으로 더블 부킹된 것,사실형
정수연의 가창력이 감성과 연륜의 박연희를 꺾었다,사실형
목욕이나 샤워 후 물기가 남은 피부 위에 오일을 바르면 산뜻하게 스며든다,사실형
a 천명훈이 a 멤버였던 고 김환성을 추모했다,사실형
1일간 접속하지 않은 복귀 이용자는 다시와서 축하해 이벤트에 참여할 수 있다,사실형
방탄소년단은 1일 타이틀곡 옛 투 컴a a a이 담긴 엔솔로지 앨범 프루프a를 발매하면서 컴백 첫날 1만장이 팔리는 등 월드 스타의 인기를 증명하고 있다,사실형
또한 세포동물 실험을 수행할 수 있는 내부 실험실a a이 갖춰져 있어 인비트로a a세포 실험와 인비보a a동물 실험 실험 진입 시간이 각각 1주일 1개월이다,사실형
성태윤 연세대 경제학과 교수는 국내 경제는 스태그플레이션에 직면한 상황이라며 미국 금리 인상에 따른 투자자금 이탈 문제가 외환 시장에 광범위하게 퍼져 있어 시장 안정을 위한 금리 인상은 불가피하다고 전망했다,사실형
중국 증시 휴장이 신종 코로나로 장기화되면서 이미 지난 열흘간 아시아 다른 국가들에서 외국인들은 1조원 이상의 자금을 뺐다,사실형
국회의사당의 상징처럼 여겨지는 회녹색 돔도 공사가 진행되던 중 미국 국회의사당을 보고 온 박정희 대통령 지시로 얹게 됐다,사실형
그는 이를 위해 1개 이상의 머신러닝 모델을 테스트했다,사실형
문책경고를 받으면 임원의 연임과 1년간 금융권 취업이 제한된다,사실형
그러면서 저를 동정해달라 하소연하는 것도 아니고 알아달라는 것도 아니고 제가 어제 왜 누군가에게 부정적인 표현까지 하게 되었는지 말하고 싶었다며 괜히 마음 쓰게 해서 미안하고 고맙다고 팬들에게 감사인사를 전했다,사실형
a 간판 예능 나 혼자 산다로 스타덤에 오른 후 오랜만에 본업인 배우로 관객과 만나는 성훈이다,사실형
산업통상자원부와 가스공사에 따르면 1월부터 민수용주택용일반용 가스 요금의 원료비 정산단가가 메가줄a가스 사용 열량 단위당 11원으로 기존보다 11원 인상된다,사실형
우선 주력 산업 중 하나인 자동차 수출액이 1억1만달러로 11 감소하며 부진했다,사실형
지난 1일 매일경제와 만난 윤 사장은  당장이라도 국제선이 열릴 때를 대비해 완벽한 준비를 갖출 필요가 있다고 설명했다,사실형
저금리 기조 속에서 예금으로 목돈을 모으려는 이들은 연 11 포인트라도 이자를 더 주는 곳을 따라 움직인다는 분석이다,사실형
가계대출 기준금리가 되는 코픽스a자금조달비용지수가 신규취급액 기준과 잔액기준 등이 일제히 올랐다,사실형
부재자 재산관리인이 행방불명된 여동생의 재산을 제대로 관리하지 않은 언니를 고소할 수 있다는 대법원 판결이 나왔다,사실형
마음산책 정은숙 대표는 아카데미 수상 이후 마더 이야기도 영향이 있어서 오늘 부랴부랴 중쇄 들어갔다 칸 영화제 이후에도 반응이 있었는데 아카데미 수상 소식을 넣은 띠지도 새로 만들어 입힐 계획이라고 말했다,사실형
데브시스터즈에 따르면 마법사들의 도시는 마법을 중심으로 한 차원 확장된 이야기와 이용자의 선택으로 플레이하는 맵과 결과 보상까지 달라지는 기획으로 호평을 이끈 바 있다,사실형
검찰은 혐의 가담 정도가 무거운 의원들을 정식 공판에 넘기고 비교적 가벼운 의원들에 대해서는 약식명령을 청구했으며 상대적으로 죄가 무겁지 않다고 판단한 경우 기소유예 처분했다고 설명했다,사실형
황형빈 가톨릭대 인천성모병원 안과 교수는 백내장과 익상편은 세극등 현미경을 통해 관찰 후 진단하게 되는데 두 질환 모두 유의하게 진행되면 안경으로도 교정이 되지 않는 시력 저하가 나타난다고 말했다,사실형
계유정란의 핵심 공신 홍윤성은 세조의 신임을 배경으로 무소불위의 권력을 휘둘렀다,사실형
미국과의 협상이 결렬되면서 석방이 어려워지자 닉은 자신의 몸값인 1만 달러를 직접 벌겠다는 위험한 거래를 제안한다,사실형
청와대는 검찰 수사를 못 견뎌했고 담당 검사들을 갈아치웠다,사실형
이는 최고점이던 지난해 1월 1만1달러 대비 1분의 1토막  올해 최고점이던  1만1달러에서 반토막 넘게 하락한 것이다,사실형
특히 a a 1세대 제품은 기존 제품과 다르게 별도의 작동 버튼을 두지 않고 베개에 머리가 닿으면 자동으로 제품이 동작하도록 하는 기능을 탑재하여 이용자의 효율성을 한층 높였다는 평을 받는다,사실형
실제 논술 학원 등에서 독서 교재로 활용되면서 인터넷에는 다양한 독후감 후기가 올라와 있기도 하다,사실형
지난해 지스타에 출품하며 국내 출시를 준비해왔다,사실형
타워 서쪽 미셀 데 루키가 디자인한 붉은 벽돌 파빌리온은 절반이 물속에 잠긴 통로로 연결된다,사실형
그동안 바이러스는 진화를 거듭해 변종이 다수 생성됐다,사실형
김금희 소설가는 경애의 마음 너무 한낮의 연애 나는 그것에 대해 아주 오랫동안 생각해 등을 써 이름을 알렸고 한국 문학을 대표하는 젊은 작가로 손꼽힌다,사실형
1일 윤석열 대통령이 공급사이드에서 정부가 할 수 있는 조치는 모두 다 하라고 지시한 데 이어 성일종 국민의힘 정책위의장이 유류세 탄력세율을 최대한 높여 달라고 주문하자 기획재정부는 탄력세율 적용을 검토하기 시작했다,사실형
같은 날 뉴욕 연방준비은행은 향후 1년간 기대 인플레이션율이 11로 집계됐다고 발표했다,사실형
정치 위기를 안보 위기로 탈출하기 위한 충동적 군사행동이라는 해석이다,사실형
프로구단 최연소 여성 운영팀장이지만 여성이라 무시당하는 이가 있고 왕년에 영업왕이었지만 지금은 취미 동호회에 빠진 마케팅팀장이 있다,사실형
손흥민은 레드카드를 1장이나 받는 건 전혀 예상치 못한 일이라면서 이 상황을 통해 더 나아지려고 노력하고 있다고 말했다,사실형
보이스퀸이 1 대 1 정면 승부에서 쏟아진 반전결과로 시청률과 화제성을 사로잡았다,사실형
계획과는 전혀 다른 수리를 입양한 지금은 어떤가 하면 나를 향해 길고 풍성한 꼬리털을 살랑살랑 흔드는 모습을 보면 홀린 듯 일어나 간식을 주거나 산책을 나가고 있다,사실형
산자부는 지난달 수출 감소 요인으로 설 연휴로 인한 조업일수 감소를 들었다,사실형
군대를 가는 등 불가피하게 반려동물을 키우기 어려운 상황이 생겼을 때 정부가 강아지를 대신 키워주는 방안도 추진된다,사실형
보수로부터는 좌파나 종북이란 비판을 받았고 지지층인 진보세력에게서는 신자유주의자라는 비난에 시달렸다,사실형
1년1억원 이후 꾸준히 상승세를 보이다가 1년 만에 감소세로 돌아선 것이다,사실형
대법원 1부주심 박정화 대법관는 1일 부정경쟁방지 및 영업비밀보호에 관한 법률 위반 혐의를 받는 a씨 등에 대한 검찰의 상고를 기각하고 전부 무죄를 선고한 원심을 확정했다,사실형
지난 1월 1일 방송에는 전인화 후배 한고은과 허재 열혈팬 신영수 부부의 현천비앤비 입성기가 담겼다,사실형
이날 협약식에는 김 부위원장과 손승현 우정사업본부장 이재근 국민은행장 진옥동 신한은행장 박성호 하나은행장 이원덕 우리은행장 등이 참석했다,사실형
위메이드대표 장현국가 신작 a 미르a 뱅가드앤배가본드를 오는 1월 1일 국내 시장에 출시한다,사실형
이들은 올해 각각 만 1세 1세로 1년 1년에 입사했으며 지난해 계열사 대표로 발탁된 바 있다,사실형
완성도를 높인 후 1년 세종문화회관에서 공연하며 대중에게 본격적으로 알려졌다,사실형
김효정 영화평론가는 국내 반려동물 돌봄 인구가 1만명에 달하면서 동물 콘텐츠에 대한 수요가 증가하는 것으로 보인다며 베일리 어게인1국내 1만여 명 관람도 예상을 넘는 흥행에 성공하면서 후속작 안녕 베일리1국내 1만여 명 관람 제작으로 이어졌다고 했다,사실형
a는 안전 관리로 도마에 올랐다,사실형
이노스페이스와 페리지에어로스페이스다,사실형
특히 이를 위해 넥슨 구성원 간의 존중이 중요하다고 강조했다,사실형
1년 즈음 전 세계 우주관광객이 연간 1여명에 달할 것으로 내다보고 1년 준궤도 시험 비행에 도전할 계획이다,사실형
그러나 예측은 완전히 빗나갔다,사실형
지금까지는 핀테크 기업이 은행과 제휴해 계좌를 만드는 형태로 금융 결제망에 참여하곤 했지만 앞으로는 핀테크 기업이 직접 개설하는 독립 계좌를 이용해 금융 거래가 가능해지는 것이다,사실형
얼굴 없는 천사의 기부금은 지난달 1일 오전 1시께 노송동주민센터 부근에 놓였으나 이를 지켜보던 범인 1명이 1초 만에 이를 훔쳐 달아났다,사실형
김 검사는 이번 수사권 조정에 국민에게는 검찰개혁이라고 속이고 결국 도착한 곳은 중국 공안이자 경찰공화국이다 철저히 소외된 것은 국민이라며 수사권조정안이란 것이 만들어질 때 그 법안이 만들어질 때 패스트트랙에 오를 때 국회를 통과할 때 도대체 국민은 어디에 있었느냐고 반문했다,사실형
특히 비교적 저렴한 가격에 마스크를 구할 수 있었던 대형마트는 수급에 어려움을 겪는 모습이다,사실형
특히 이중 일부는 중대형 배터리 생산이 가능한 파일럿 라인으로 알려졌다,사실형
이어 조립동으로 발사체를 가져오면 점검 과정을 통해 원인을 분석하고 보완하겠다라면서 모든 것이 괜찮다고 확인된 이후에 향후 발사일정을 확정하겠다고 덧붙였다,사실형
중앙방역대책본부에 따르면 이날 1시 기준 코로나1 신규 확진자 수는 1명으로 집계됐다,사실형
거품의 징후는 곳곳에서 발견된다,사실형
신 부장판사는 이날 범죄 혐의에 대한 대체적인 소명은 이뤄진 것으로 보이나 일부 혐의는 다툼의 여지가 있다며 기각 사유를 밝혔다,사실형
혜자라는 사람이 그릇이 크면 쓸모가 별로 없다는 말로 장자를 비웃은 적이 있었다,사실형
신청 기간은 이달 1일까지다,사실형
이씨는 회사를 그만두면 갈 곳이 없어지니 공인중개사 자격증을 따 미래를 준비하고 싶다며 자격증이 있으면 든든하고 안정적인 기분이 들 것 같다고 말했다,사실형
지난 달 디즈니 스타벅스 맥도날드에 이어 1일 애플이 중국 전 매장을 임시 폐쇄1월11일하기로 발표하는 등 중국에 적극 진출했던 글로벌 기업들이 줄줄이 활동을 줄이기로 한 여파다,사실형
지봉유설은 뿐만 아니라 건주여진남만주 일원의 여진족의 추장 노추가 고려 왕 씨의 후손이라고도 한다고도 했다,사실형
일반적인 보디클렌저처럼 사용하는 것은 물론 팔꿈치 종아리 등 각질이 고민되는 부위에 얇게 펴 바르고 1분 동안 두었다가 가볍게 문지르듯 닦아내면 피부 노폐물이 제거되고 매끄러운 피부가 된다,사실형
하지만 정보 통제는 여전히 계속되고 있다,사실형
해당 내용을 발표하며 금감원은 정부기관의 정상적인 문자메시지를 공개했다,사실형
전국 최초 메타버스 수출 전시 상담회로 큰 기대를 모았던 대구 주력산업 메타버스 엑스포가 성공적으로 마무리됐다,사실형
방송 등의 미디어를 통해 인지도가 올라가면 a 플랫폼에서 자연스레 인기를 끌고 인플루언서가 되기도 한다,사실형
고진영은 또 1년 만에 a 상금왕 1연패에도 도전한다,사실형
이와관련해 국내 보건당국은 병원체 감염이 엄마에게서 아기로 직접 옮기는 수직감염 가능성이 거의 없을 것이라는 입장을 내놨다,사실형
대부분의 사람은 그것들이 무너질 때 경악하면서 같이 무너진다,사실형
홍 부총리는 그동안 신종 코로나 사태가 실물경제에 끼치는 영향이 제한적이란 점을 강조해왔지만 주말 새 확진자가 늘고 1차 감염자까지 등장하자 경계를 강화한 모습이다,사실형
1대 응시자는 1년 1만1명에서 1년 1만1명으로 부쩍 증가했다,사실형
오는 1월 1일1일 양일간 여섯 번째 단독 콘서트를 개최하고 팬들을 만날 계획이다,사실형
최근 수산물 전문 사이트 인어교주해적단의 가격 정보에 따르면 평소 1a당 1만 원대였던 레드 킹크랩 가격은 현재 1만1만 원 선까지 떨어졌다,사실형
이에 상공부는 봉은사와 직접 계약하는 대신 조계종 총무원과 계약해 1만의 땅을 11당 1원씩 총 1억1만원에 구매했다,사실형
심사를 맡은 퀸메이커들은 눈물을 보이기도 했다,사실형
건강보험심사평가원의 비급여 진료 비용 공개제도에 따르면 일부 안과에서는 렌즈 한 개당 최대 1만원까지 받고 있었다,사실형
해당 고래는 골격 표본으로 제작돼 현재 제주시 민속자연사박물관에 전시되고 있다,사실형
국토부는 안전운임제를 내년 이후에도 계속 시행하고 후속 논의를 지속해서 이어나갈 방침이다,사실형
사장실로 돌아온 그는 그럼에도 해고와 매장 폐쇄를 최후의 수단으로 남겨놓고 매출 신장과 마진 개선을 최우선 과제로 삼았다,사실형
한편 미래콘텐츠재단은 지난 1월 게임인재단에서 명칭을 변경한 비영리 공익법인으로 기존 게임인재단의 조직과 운영을 계승하는 동시에 게임을 넘어 모든 콘텐츠 전반으로 사업을 확장할 예정이다,사실형
할리우드 여배우 앤젤리나 졸리는 1년 유방암 발생 가능성이 1라는 진단을 받고 암에 걸리지 않았는데도 예방을 위해 유방 절제 수술을 받은 바 있다,사실형
권 단장은 주1시간제 도입으로 노동시간 관리에 대한 인식이 높아지면서 이전 장시간 근로감독과 비교했을 때 연장근로 한도 위반 비율이 감소했다고 강조했다,사실형
1일 금융투자업계에 따르면 지난 1일 만기를 맞은 자비스 팝펀딩 홈쇼핑 벤더 1호에 이어 1일 만기였던 코리아에셋스마트플랫폼 1호도 상환이 1개월 연장됐다,사실형
스마일게이트 알피지 지원길 대표는 재미와 완성도를 모두 갖춘 로스트아크의 핵심 엔드 콘텐츠 군단장 레이드가 서구권 모험가들 사이에서도 높은 인기를 끌고 있다 게임의 본질인 재미에 집중한다면 글로벌 어디에서도 사랑 받을수 있다는 것을 증명한 것이라며 앞으로도 꾸준한 업데이트를 통해 글로벌 a1 a로 오랜 시간 즐거움을 드릴 수 있도록 최선을 다하겠다고 밝혔다,사실형
상대의 인격을 부인하고 악마화하는 데에서 오는 쾌감이다,사실형
코로나 1사태가 장기화하며 재택근무와 바깥 외출 시 마스크 착용은 어느덧 익숙한 일상이 되었다,사실형
중국이 발표한 전염병 관련 숫자를 못 믿겠다는 말이 무성하다,사실형
아에르 브랜드 제품 포트폴리오도 빠르게 늘어나고 있다,사실형
두 사람은 1회까지 이어지는 프로그램은 방송하는 사람에게도 흔치 않은 일이라며 방송하는 사람에게는 복 받은 일이다 1회가 너무 감사하다고 입을 모았다,사실형
1월 1일 1번째 생일을 맞은 대신증권은 증권 전문 기업에서 부동산 등으로 사업을 다각화하며 더욱 젊어졌다는 평가를 받는다,사실형
11대 정부 수반이 지구촌을 이끌고 있다,사실형
이에 북병사는 날마다 연회를 베풀면서 차천로를 융숭하게 대접했다,사실형
신속통합기획 추진을 결정한 여의도 시범아파트와 한양아파트에 이어 1일 삼부아파트도 신통기획 대상지로 선정됐다,사실형
주총 안건은 의결주식의 1분의 1 이상 참석해 참석한 주주의 절반 이상 동의로 의결이 되는데 참석 주주의 1 이상이 손 회장 연임에 찬성표를 던졌다,사실형
프레드가 판매하는 상품 중 프로틴 케이크는 1종이 있다,사실형
플레디스 1호 남자 아이돌 그룹 뉴이스트도 1만장을 판매하며 회사에 힘을 보탰다,사실형
게임 내 캐릭터나 아이템 등 각종 요소로 만들어지는 a가 생태계 안에서 자유롭게 이동하며 공유되는 환경을 마련하고 다른 a 프로젝트와의 연동을 지원해 글로벌 블록체인 커뮤니티의 일원이 되겠다는 목표다,사실형
이번 시상식에서는 봉준호 감독의 영화 기생충의 수상 여부가 주목받고 있다,사실형
서울대 낙방생을 a는 장학생으로 모셔간 것이다,사실형
그는 어제 같이 밥 먹다가 형제 있냐고 했더니 형이 있댔다 형도 귀가 불편해 하니까 불편하댔다 안타까운 마음에 아이고하면서 살짝 어머님이 뭐 잘못드신 걸까 했다며 좀 눈치가 없고 생각 없는 거 인정한다고 말했다,사실형
국제유가가 배럴당 1달러를 넘나들며 고공행진을 이어가는 가운데 고유가 수혜주에 대한 관심이 높아지고 있다,사실형
또 오는 1일까지 잠자는 친구 1명을 깨울 때마다 럭키박스를 선물한다,사실형
하이에어가 도입 운용 중인 프랑스 a의 a11이며 현재 보유 중인 1대 외에 올해 1대를 추가로 도입하고 이후 매년 1대씩 도입하여 1년에는 1대까지 늘려 운영할 계획이다,사실형
